"cf_if","first_name","last_name","email","company_name","description","goal","pledged","outcome","backers_count","country","currency","launch_date","end_date","category","subcategory"
147,"Cecilia","Velasco","cecilia.velasco@rodrigues.fr","Baldwin, Riley and Jackson","Pre-emptive tertiary standardization","100.0","0.0","failed",0,"CA","CAD","1970-01-01","1970-01-01","food","food trucks"
1175,"Adam","Zavala","adam.zavala@guichard.fr","Werner-Bryant","Virtual uniform frame","1800.0","7991.0","successful",222,"US","USD","1970-01-01","1970-01-01","food","food trucks"
873,"Rosie","Peltier","rosie.peltier@voila.fr","Stewart LLC","Cloned bi-directional architecture","1300.0","12047.0","successful",113,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2568,"Sarah","Davis","sarah.davis@david.com","Castillo-Carey","Cross-platform solution-oriented process improvement","142400.0","21307.0","failed",296,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1211,"Melissa","Canali","melissa.canali@libero.it","Wright, Hartman and Yu","User-friendly tertiary array","3300.0","12437.0","successful",131,"US","USD","1970-01-01","1970-01-01","food","food trucks"
990,"Seth","Olivier","seth.olivier@yahoo.com","Morgan-Martinez","Mandatory tertiary implementation","148500.0","4756.0","canceled",55,"AU","AUD","1970-01-01","1970-01-01","food","food trucks"
2228,"Emily","Cundari","emily.cundari@clark.com.au","Alexander-Williams","Triple-buffered cohesive structure","7200.0","6927.0","failed",210,"US","USD","1970-01-01","1970-01-01","food","food trucks"
509,"Diane","Rogner","diane.rogner@kelly.co.uk","Mcknight-Freeman","Upgradable scalable methodology","8300.0","6543.0","canceled",82,"US","USD","1970-01-01","1970-01-01","food","food trucks"
966,"Elvira","Papafava","elvira.papafava@ifrance.com","Huff LLC","Face-to-face clear-thinking Local Area Network","121500.0","119830.0","failed",2179,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2765,"Megan","Kuhl","megan.kuhl@despacho.com","Ho-Harris","Versatile cohesive encoding","7300.0","717.0","failed",10,"US","USD","1970-01-01","1970-01-01","food","food trucks"
524,"Javier","Tessier","javier.tessier@mclaughlin.biz","Ramsey and Sons","Grass-roots contextually-based algorithm","3800.0","1954.0","failed",49,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2991,"Ernesto","Nerger","ernesto.nerger@middleton.co.uk","Martin-Marshall","Configurable demand-driven matrix","9600.0","6401.0","failed",108,"IT","EUR","1970-01-01","1970-01-01","food","food trucks"
2049,"Antoine","Guyon","antoine.guyon@yahoo.com","Rose-Silva","Intuitive static portal","3300.0","14643.0","successful",190,"US","USD","1970-01-01","1970-01-01","food","food trucks"
553,"Burghard","Rosenow","burghard.rosenow@hotmail.com","Hensley Ltd","Versatile cohesive open system","199000.0","142823.0","failed",3483,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1559,"Jenna","Day","jenna.day@reed.com","Baker Ltd","Progressive intangible flexibility","6300.0","14199.0","successful",189,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2201,"Bertrand","Hopkins","bertrand.hopkins@gmail.com","Davis and Sons","Innovative human-resource migration","188200.0","159405.0","failed",5497,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1003,"Janko","Bishop","janko.bishop@tim.it","Jones-Riddle","Self-enabling real-time definition","147800.0","15723.0","failed",162,"US","USD","1970-01-01","1970-01-01","food","food trucks"
343,"Brandi","Abbagnale","brandi.abbagnale@tele2.fr","Perry and Sons","Configurable static help-desk","3100.0","9889.0","successful",194,"GB","GBP","1970-01-01","1970-01-01","food","food trucks"
3153,"Julia","Ali","julia.ali@yahoo.com","Long-Greene","Future-proofed heuristic encryption","2400.0","12310.0","successful",173,"GB","GBP","1970-01-01","1970-01-01","food","food trucks"
37,"Walburga","Vollbrecht","walburga.vollbrecht@aol.de","Landry Inc","Synergistic cohesive adapter","29600.0","77021.0","successful",1572,"GB","GBP","1970-01-01","1970-01-01","food","food trucks"
1067,"Milan","Montenegro","milan.montenegro@langern.com","Henson PLC","Universal contextually-based knowledgebase","56800.0","173437.0","successful",2443,"US","USD","1970-01-01","1970-01-01","food","food trucks"
3019,"Rolando","Bibi","rolando.bibi@tin.it","Ramirez LLC","Multi-tiered maximized orchestration","5900.0","6608.0","successful",78,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2654,"Beth","Miniati","beth.miniati@hudson.net","Thomas, Welch and Santana","Assimilated exuding toolset","9800.0","7120.0","failed",77,"US","USD","1970-01-01","1970-01-01","food","food trucks"
76,"Pierangelo","Scholtz","pierangelo.scholtz@lefevre.com","Parker, Haley and Foster","Adaptive local task-force","2700.0","9967.0","successful",144,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2313,"Piermaria","Laporte","piermaria.laporte@wesack.com","Williams-Santos","Open-source analyzing monitoring","9400.0","6852.0","failed",156,"CA","CAD","1970-01-01","1970-01-01","food","food trucks"
349,"Julie","Coles","julie.coles@hotmail.fr","Brown-George","Cross-platform tertiary array","100.0","5.0","failed",1,"GB","GBP","1970-01-01","1970-01-01","food","food trucks"
766,"Celal","Fischer","celal.fischer@aol.de","Gordon, Mendez and Johnson","Fundamental needs-based frame","137600.0","180667.0","successful",2230,"US","USD","1970-01-01","1970-01-01","food","food trucks"
427,"Hansjoachim","Lettiere","hansjoachim.lettiere@hall-mcdaniel.net","Martin, Lee and Armstrong","Open-architected incremental ability","1600.0","11108.0","successful",154,"GB","GBP","1970-01-01","1970-01-01","food","food trucks"
2931,"Rosa","Paul","rosa.paul@bien.com","Vargas-Cox","Vision-oriented local contingency","98600.0","62174.0","canceled",723,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2467,"Aimee","Foconi","aimee.foconi@outlook.com","Hobbs, Brown and Lee","Vision-oriented systematic Graphical User Interface","118400.0","49879.0","failed",504,"AU","AUD","1970-01-01","1970-01-01","food","food trucks"
1814,"Trinidad","Vespa","trinidad.vespa@gmail.com","Davis Ltd","Synchronized motivating solution","1400.0","14511.0","successful",363,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2499,"Maurizio","Gute","maurizio.gute@knight.info","Stafford, Hess and Raymond","Optional web-enabled extranet","2100.0","540.0","failed",6,"US","USD","1970-01-01","1970-01-01","food","food trucks"
3098,"Ria","Venier","ria.venier@murillo-estevez.com","Harris, Medina and Mitchell","Enhanced regional flexibility","5200.0","1583.0","failed",19,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2978,"Galasso","Junken","galasso.junken@yahoo.co.uk","Miller, Glenn and Adams","Distributed actuating project","4700.0","11174.0","successful",110,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1387,"Fidel","Ruppert","fidel.ruppert@yahoo.co.uk","Williams and Sons","Profound composite core","2400.0","8558.0","successful",158,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1439,"Yvette","Harding","yvette.harding@yahoo.co.uk","Ayala, Crawford and Taylor","Realigned 5thgeneration knowledge user","4000.0","2778.0","failed",35,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2948,"Dario","Green","dario.green@live.com","Kane, Pruitt and Rivera","Cross-platform next generation service-desk","4800.0","7797.0","successful",300,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2734,"Dino","Osborne","dino.osborne@despacho.com","Estrada Group","Multi-lateral uniform collaboration","163600.0","126628.0","failed",1229,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2599,"Maura","Ravaglioli","maura.ravaglioli@yahoo.com","Wright-Bryant","Reverse-engineered client-server extranet","19800.0","153338.0","successful",1460,"AU","AUD","1970-01-01","1970-01-01","food","food trucks"
1447,"Graham","Bajardi","graham.bajardi@yahoo.com","Brown-Oliver","Synchronized cohesive encoding","8700.0","1577.0","failed",15,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1437,"Randall","Connolly","randall.connolly@jovinelli-castelli.com","Peterson, Gonzalez and Spencer","Synchronized fault-tolerant algorithm","7500.0","11969.0","successful",114,"US","USD","1970-01-01","1970-01-01","food","food trucks"
3209,"Paulo","Zito","paulo.zito@nelson.biz","Harris, Russell and Mitchell","User-centric cohesive policy","3600.0","10657.0","successful",266,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1755,"Albert","Legendre","albert.legendre@lee.com","Gonzalez-White","Open-architected disintermediate budgetary management","2400.0","8117.0","successful",114,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1432,"Francisca","Becerra","francisca.becerra@young.com.au","Johnson Group","Vision-oriented interactive solution","7000.0","5177.0","failed",67,"US","USD","1970-01-01","1970-01-01","food","food trucks"
2986,"Whitney","Noack","whitney.noack@laboratorios.org","Manning-Hamilton","Vision-oriented scalable definition","97300.0","153216.0","successful",2043,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1788,"Michelangelo","Hess","michelangelo.hess@bouygtel.fr","Hernandez, Norton and Kelley","Expanded eco-centric policy","111100.0","62819.0","canceled",1122,"US","USD","1970-01-01","1970-01-01","food","food trucks"
1621,"Mariana","Ellis","mariana.ellis@rossi.org","Odom Inc","Managed bottom-line architecture","1400.0","14560.0","successful",158,"US","USD","1970-01-01","1970-01-01","music","rock"
2156,"Jeanette","Iannotti","jeanette.iannotti@yahoo.com","Mcdonald, Gonzalez and Ross","Vision-oriented fresh-thinking conglomeration","4200.0","2477.0","failed",24,"US","USD","1970-01-01","1970-01-01","music","rock"
2502,"Evelin","Odonnell","evelin.odonnell@ibarra.net","Best, Carr and Williams","Diverse transitional migration","2000.0","1599.0","failed",15,"US","USD","1970-01-01","1970-01-01","music","rock"
3122,"Chad","Turner","chad.turner@gmail.com","Watts Group","Universal 5thgeneration neural-net","5600.0","11924.0","successful",111,"IT","EUR","1970-01-01","1970-01-01","music","rock"
1482,"Martino","Wagner","martino.wagner@laposte.net","Vaughn, Hunt and Caldwell","Virtual grid-enabled task-force","3700.0","4247.0","successful",92,"US","USD","1970-01-01","1970-01-01","music","rock"
2389,"Peter","Vogt","peter.vogt@yahoo.com","Casey-Kelly","Sharable holistic interface","7200.0","13653.0","successful",303,"US","USD","1970-01-01","1970-01-01","music","rock"
1610,"Anthony","Hauffer","anthony.hauffer@tlustek.org","Gomez, Bailey and Flores","User-friendly static contingency","16800.0","37857.0","successful",411,"US","USD","1970-01-01","1970-01-01","music","rock"
2311,"Celia","Ungaretti","celia.ungaretti@fox.com","Farrell and Sons","Synergized 4thgeneration conglomeration","198500.0","123040.0","failed",1482,"AU","AUD","1970-01-01","1970-01-01","music","rock"
2404,"Venancio","Stadelmann","venancio.stadelmann@gmx.de","Allen-Curtis","Phased human-resource core","70600.0","42596.0","canceled",532,"US","USD","1970-01-01","1970-01-01","music","rock"
2588,"Rembrandt","Liguori","rembrandt.liguori@davis.org","Brown, Palmer and Pace","Networked stable workforce","100.0","1.0","failed",1,"US","USD","1970-01-01","1970-01-01","music","rock"
174,"Roman","Gonzalez","roman.gonzalez@anderson.net","Meza-Rogers","Streamlined encompassing encryption","36400.0","26914.0","canceled",379,"AU","AUD","1970-01-01","1970-01-01","music","rock"
2824,"Sandro","Moran","sandro.moran@hotmail.de","Carlson Inc","Ergonomic fresh-thinking installation","2100.0","4640.0","successful",41,"US","USD","1970-01-01","1970-01-01","music","rock"
2427,"Silvester","Brookes","silvester.brookes@franco.org","Keith, Alvarez and Potter","Extended bottom-line open architecture","6100.0","9134.0","successful",157,"CH","CHF","1970-01-01","1970-01-01","music","rock"
1134,"Nicole","Mccullough","nicole.mccullough@hall.com","Rogers, Huerta and Medina","Pre-emptive bandwidth-monitored instruction set","5100.0","3525.0","failed",86,"CA","CAD","1970-01-01","1970-01-01","music","rock"
611,"Eugenio","Martin","eugenio.martin@yahoo.de","Long, Morgan and Mitchell","Upgradable 4thgeneration productivity","42600.0","8517.0","failed",243,"US","USD","1970-01-01","1970-01-01","music","rock"
777,"Mitchell","Bachmann","mitchell.bachmann@suarez-cruz.com","Hull, Baker and Martinez","Digitized reciprocal infrastructure","1800.0","968.0","failed",13,"US","USD","1970-01-01","1970-01-01","music","rock"
